CLAVE,NOMBRE,UNIDAD,EXISTENCIA
PJ3636,PISO JARAL 36X36 BEIGE 1RA 2.08 M2,CAJA,142
PS4545M,PISO SENA 45X45 MARFIL 1RA 2.03 M2,CAJA,64
PCA1860,PISO CHAPALA ABEDUL 18X60 1RA 1.51 M2,CAJA,38
PV5555,PISO VARENA 55X55 GRIS 1RA 1.51 M2,CAJA,9
PN6060,PISO NOGAL 60X60 PORCELANATO 1RA 1.44 M2,CAJA,27
PT3333,PISO TERRA 33X33 COBRE 2DA 2.00 M2,CAJA,0
PM20120,PISO MADERA ROBLE 20X120 PORCELANATO 1RA 1.44 M2,CAJA,15
PC4545,PISO CANTERA 45X45 ROSA 1RA 2.03 M2,CAJA,4
MM2030C,MURO MAZAMITLA 20X30 CREMA 1RA 1.50 M2,CAJA,51
MB2540,MURO BRISA 25X40 BLANCO 1RA 1.50 M2,CAJA,22
MM3060,MURO MARMOLIZADO 30X60 CARRARA 1RA 1.44 M2,CAJA,6
MT2030,MURO TALAVERA 20X30 AZUL 1RA 1.50 M2,CAJA,0
ADP20G,ADHESIVO PERDURA GRIS 20 KG,SACO,180
ADP20B,ADHESIVO PERDURA BLANCO 20 KG,SACO,74
ADPP20,ADHESIVO PERDURA PORCELANATO 20 KG,SACO,33
BQ5GR,BOQUILLA SIN ARENA GRIS 5 KG,BOLSA,40
BQ5BL,BOQUILLA CON ARENA BLANCO 5 KG,BOLSA,3
CR3MM,CRUCETAS 3 MM BOLSA 100 PZ,BOLSA,56
NV100,NIVELADORES CLIP BOLSA 100 PZ,BOLSA,12
